,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
462,2019-04-08,3955.8814260495847,2149.50073694994,5626.2476500405755,3955.8814260495847,3955.8814260495847,0.0,0.0,0.0,0.0,0.0,0.0,3955.8814260495847
463,2019-04-09,3956.943713466774,2083.812413631135,5819.083787714143,3956.943713466774,3956.943713466774,0.0,0.0,0.0,0.0,0.0,0.0,3956.943713466774
464,2019-04-10,3958.0060008839637,2157.201574000268,5658.783678254697,3958.0060008839637,3958.0060008839637,0.0,0.0,0.0,0.0,0.0,0.0,3958.0060008839637
465,2019-04-11,3959.0682883011527,2183.727003964091,5825.228358187154,3959.0682883011527,3959.0682883011527,0.0,0.0,0.0,0.0,0.0,0.0,3959.0682883011527
466,2019-04-12,3960.1305757183422,2254.4372756751027,5656.761826090621,3960.1305757183422,3960.1305757183422,0.0,0.0,0.0,0.0,0.0,0.0,3960.1305757183422
467,2019-04-13,3961.1928631355313,2114.817794377509,5608.4153055361285,3961.1928631355313,3961.1928631355313,0.0,0.0,0.0,0.0,0.0,0.0,3961.1928631355313
468,2019-04-14,3962.255150552721,2246.533950618641,5696.403912824376,3962.255150552721,3962.255150552721,0.0,0.0,0.0,0.0,0.0,0.0,3962.255150552721
469,2019-04-15,3963.31743796991,2201.21894952616,5809.721250148063,3963.31743796991,3963.31743796991,0.0,0.0,0.0,0.0,0.0,0.0,3963.31743796991
470,2019-04-16,3964.3797253870994,2250.0320357774435,5703.13641738761,3964.3797253870994,3964.3797253870994,0.0,0.0,0.0,0.0,0.0,0.0,3964.3797253870994
471,2019-04-17,3965.442012804289,2271.075500763335,5737.578845333883,3965.442012804289,3965.442012804289,0.0,0.0,0.0,0.0,0.0,0.0,3965.442012804289
472,2019-04-18,3966.504300221478,2204.6900738595486,5742.868919191505,3966.504300221478,3966.504300221478,0.0,0.0,0.0,0.0,0.0,0.0,3966.504300221478
