,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
836,2020-04-16,4404.011191012233,2528.0137714956395,6095.7279588637375,4404.011191012233,4404.011191012233,-5.408590172291494,-5.408590172291494,-5.408590172291494,-5.408590172291494,-5.408590172291494,-5.408590172291494,0.0,0.0,0.0,4398.602600839942
837,2020-04-17,4405.641011094679,2643.9958844620364,6116.5298953879965,4405.641011094679,4405.641011094679,-55.65651490200808,-55.65651490200808,-55.65651490200808,-55.65651490200808,-55.65651490200808,-55.65651490200808,0.0,0.0,0.0,4349.984496192671
838,2020-04-18,4407.270831177124,2616.303600363595,6096.867136008829,4407.270831177124,4407.270831177124,-31.80820823491337,-31.80820823491337,-31.80820823491337,-31.80820823491337,-31.80820823491337,-31.80820823491337,0.0,0.0,0.0,4375.46262294221
839,2020-04-19,4408.90065125957,2619.1007589543947,6199.16034385817,4408.90065125957,4408.90065125957,15.064707956062634,15.064707956062634,15.064707956062634,15.064707956062634,15.064707956062634,15.064707956062634,0.0,0.0,0.0,4423.965359215632
840,2020-04-20,4410.530471342016,2782.172301684871,6100.716603645787,4410.530471342016,4410.530471342016,38.51930797398584,38.51930797398584,38.51930797398584,38.51930797398584,38.51930797398584,38.51930797398584,0.0,0.0,0.0,4449.049779316002
841,2020-04-21,4412.160291424462,2635.5219389800504,6286.859239435034,4412.160291424462,4412.160291424462,24.401553932293925,24.401553932293925,24.401553932293925,24.401553932293925,24.401553932293925,24.401553932293925,0.0,0.0,0.0,4436.561845356756
842,2020-04-22,4413.790111506908,2640.0299321705975,6123.970369683925,4413.790111506908,4413.790111506908,14.887743446940533,14.887743446940533,14.887743446940533,14.887743446940533,14.887743446940533,14.887743446940533,0.0,0.0,0.0,4428.6778549538485
843,2020-04-23,4415.419931589354,2682.4078865740817,6179.254801089497,4415.419931589354,4415.419931589354,-5.4085901723194905,-5.4085901723194905,-5.4085901723194905,-5.4085901723194905,-5.4085901723194905,-5.4085901723194905,0.0,0.0,0.0,4410.011341417035
844,2020-04-24,4417.0497516718,2738.2987310757276,6276.854500812111,4417.0497516718,4417.0497516718,-55.65651490202121,-55.65651490202121,-55.65651490202121,-55.65651490202121,-55.65651490202121,-55.65651490202121,0.0,0.0,0.0,4361.393236769778
845,2020-04-25,4418.679571754246,2554.3979298532136,6254.564744726495,4418.679571754246,4418.679571754246,-31.808208234869028,-31.808208234869028,-31.808208234869028,-31.808208234869028,-31.808208234869028,-31.808208234869028,0.0,0.0,0.0,4386.871363519377
846,2020-04-26,4420.309391836692,2653.5048750343476,6089.039974115572,4420.309391836692,4420.309391836692,15.064707956101996,15.064707956101996,15.064707956101996,15.064707956101996,15.064707956101996,15.064707956101996,0.0,0.0,0.0,4435.374099792794
