,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1278,2021-07-02,4335.470475451357,4932.533159244881,6893.322918402386,4328.778178497171,4341.373207499827,1569.6294061913911,1569.6294061913911,1569.6294061913911,476.99571931593067,476.99571931593067,476.99571931593067,-57.9515905051049,-57.9515905051049,-57.9515905051049,1150.5852773805657,1150.5852773805657,1150.5852773805657,0.0,0.0,0.0,5905.099881642748
1279,2021-07-03,4336.5384080209415,4865.663775476551,7028.030698526019,4329.775997166464,4342.487154022075,1592.031328019863,1592.031328019863,1592.031328019863,476.99571931593067,476.99571931593067,476.99571931593067,-33.50050991357558,-33.50050991357558,-33.50050991357558,1148.536118617508,1148.536118617508,1148.536118617508,0.0,0.0,0.0,5928.569736040805
1280,2021-07-04,4337.606340590526,4953.951670390287,7007.931317971226,4330.816492855114,4343.6002007371335,1639.5250062286082,1639.5250062286082,1639.5250062286082,476.99571931593067,476.99571931593067,476.99571931593067,13.971248363609394,13.971248363609394,13.971248363609394,1148.5580385490682,1148.5580385490682,1148.5580385490682,0.0,0.0,0.0,5977.131346819135
1281,2021-07-05,4338.674273160111,4961.263279000978,7070.723145358458,4331.834888022974,4344.744492684064,1671.7083228268095,1671.7083228268095,1671.7083228268095,476.99571931593067,476.99571931593067,476.99571931593067,44.021418265816905,44.021418265816905,44.021418265816905,1150.691185245062,1150.691185245062,1150.691185245062,0.0,0.0,0.0,6010.38259598692
1282,2021-07-06,4339.742205729695,4906.616236566784,7106.7220756834395,4332.840417857299,4345.886732745805,1662.2935269661805,1662.2935269661805,1662.2935269661805,476.99571931593067,476.99571931593067,476.99571931593067,30.39850717284099,30.39850717284099,30.39850717284099,1154.8993004774088,1154.8993004774088,1154.8993004774088,0.0,0.0,0.0,6002.035732695876
1283,2021-07-07,4340.810138299279,4943.131874745572,7038.355979630841,4333.86338101845,4347.012011009425,1649.4402045497493,1649.4402045497493,1649.4402045497493,476.99571931593067,476.99571931593067,476.99571931593067,11.373525892435051,11.373525892435051,11.373525892435051,1161.0709593413835,1161.0709593413835,1161.0709593413835,0.0,0.0,0.0,5990.250342849028
1284,2021-07-08,4341.878070868864,4962.196814074939,6898.828436748966,4334.8863441796,4348.128124585044,1637.7064305502001,1637.7064305502001,1637.7064305502001,476.99571931593067,476.99571931593067,476.99571931593067,-8.312599276056657,-8.312599276056657,-8.312599276056657,1169.023310510326,1169.023310510326,1169.023310510326,0.0,0.0,0.0,5979.584501419064
1285,2021-07-09,4342.946003438448,4900.019426782669,6976.974950781087,4335.908468694412,4349.262405178411,1597.5523017341,1597.5523017341,1597.5523017341,476.99571931593067,476.99571931593067,476.99571931593067,-57.951590505120215,-57.951590505120215,-57.951590505120215,1178.5081729232897,1178.5081729232897,1178.5081729232897,0.0,0.0,0.0,5940.4983051725485
1286,2021-07-10,4344.013936008031,4971.195877311092,6966.8471812581465,4336.926863862271,4350.372425366865,1632.7154810506865,1632.7154810506865,1632.7154810506865,476.99571931593067,476.99571931593067,476.99571931593067,-33.50050991356405,-33.50050991356405,-33.50050991356405,1189.22027164832,1189.22027164832,1189.22027164832,0.0,0.0,0.0,5976.729417058717
1287,2021-07-11,4345.081868577616,5034.948574364306,7041.6454258463,4337.94525903013,4351.521848398572,1691.774297793694,1691.774297793694,1691.774297793694,476.99571931593067,476.99571931593067,476.99571931593067,13.971248363620862,13.971248363620862,13.971248363620862,1200.8073301141426,1200.8073301141426,1200.8073301141426,0.0,0.0,0.0,6036.85616637131
1288,2021-07-12,4346.1498011472,5039.320268179908,7102.845249949336,4338.961397157654,4352.666779057075,1733.898817365653,1733.898817365653,1733.898817365653,476.99571931593067,476.99571931593067,476.99571931593067,44.02141826580602,44.02141826580602,44.02141826580602,1212.8816797839165,1212.8816797839165,1212.8816797839165,0.0,0.0,0.0,6080.048618512854
1289,2021-07-13,4347.217733716785,4983.452840075007,7138.558886144171,4339.9803070433345,4353.786205948192,1732.4272297844611,1732.4272297844611,1732.4272297844611,476.99571931593067,476.99571931593067,476.99571931593067,30.398507172838663,30.398507172838663,30.398507172838663,1225.0330032956917,1225.0330032956917,1225.0330032956917,0.0,0.0,0.0,6079.644963501246
1290,2021-07-14,4348.285666286369,4966.103345354869,7114.065560050863,4340.998580934833,4354.8876862541,1725.211039624548,1725.211039624548,1725.211039624548,476.99571931593067,476.99571931593067,476.99571931593067,11.373525892480798,11.373525892480798,11.373525892480798,1236.8417944161365,1236.8417944161365,1236.8417944161365,0.0,0.0,0.0,6073.496705910917
1291,2021-07-15,4349.353598855953,5108.109237569717,7117.795342368644,4342.014978865564,4355.989166560009,1716.576218761782,1716.576218761782,1716.576218761782,476.99571931593067,476.99571931593067,476.99571931593067,-8.312599275933735,-8.312599275933735,-8.312599275933735,1247.8930987217852,1247.8930987217852,1247.8930987217852,0.0,0.0,0.0,6065.929817617735
1292,2021-07-16,4350.421531425537,5045.634640869114,7095.266042838964,4343.036164038927,4357.100434370791,1676.834222076768,1676.834222076768,1676.834222076768,476.99571931593067,476.99571931593067,476.99571931593067,-57.951590505136885,-57.951590505136885,-57.951590505136885,1257.7900932659743,1257.7900932659743,1257.7900932659743,0.0,0.0,0.0,6027.255753502305
1293,2021-07-17,4351.489463995122,4992.797003320808,7104.542230199637,4344.050426605463,4358.235871492778,1709.662281035033,1709.662281035033,1709.662281035033,476.99571931593067,476.99571931593067,476.99571931593067,-33.500509913515785,-33.500509913515785,-33.500509913515785,1266.167071632618,1266.167071632618,1266.167071632618,0.0,0.0,0.0,6061.151745030154
1294,2021-07-18,4352.557396564706,5082.271605449305,7110.794039364261,4345.050730738485,4359.362333458214,1763.6683900901544,1763.6683900901544,1763.6683900901544,476.99571931593067,476.99571931593067,476.99571931593067,13.971248363699884,13.971248363699884,13.971248363699884,1272.7014224105242,1272.7014224105242,1272.7014224105242,0.0,0.0,0.0,6116.225786654861
1295,2021-07-19,4353.625329134291,5122.389086245999,7266.798424209407,4346.04293417028,4360.471684520259,1798.141361028797,1798.141361028797,1798.141361028797,476.99571931593067,476.99571931593067,476.99571931593067,44.021418265801785,44.021418265801785,44.021418265801785,1277.1242234470649,1277.1242234470649,1277.1242234470649,0.0,0.0,0.0,6151.766690163088
1296,2021-07-20,4354.693261703876,5153.753590251505,7161.208760142101,4347.035137602075,4361.5849864993015,1786.623346621791,1786.623346621791,1786.623346621791,476.99571931593067,476.99571931593067,476.99571931593067,30.398507172793547,30.398507172793547,30.398507172793547,1279.229120133067,1279.229120133067,1279.229120133067,0.0,0.0,0.0,6141.3166083256665
1297,2021-07-21,4355.761194273458,5082.849213210934,7179.161478228944,4348.028113745808,4362.700165345444,1767.2484571394016,1767.2484571394016,1767.2484571394016,476.99571931593067,476.99571931593067,476.99571931593067,11.373525892461027,11.373525892461027,11.373525892461027,1278.8792119310099,1278.8792119310099,1278.8792119310099,0.0,0.0,0.0,6123.00965141286
